iter	Passed	Remaining
405	4835	13030
406	4846	13015
407	4855	12996
408	4867	12982
409	4877	12967
410	4888	12952
411	4897	12934
412	4909	12922
413	4921	12909
414	4931	12893
415	4942	12880
416	4952	12861
417	4963	12849
418	4975	12835
419	4986	12821
420	4997	12808
421	5008	12793
422	5019	12779
423	5030	12766
424	5041	12752
425	5052	12737
426	5064	12727
427	5075	12712
428	5086	12697
429	5097	12684
430	5107	12668
431	5117	12652
432	5128	12638
433	5139	12623
434	5149	12606
435	5159	12592
436	5170	12576
437	5182	12564
438	5192	12549
439	5204	12537
440	5214	12521
441	5225	12508
442	5237	12495
443	5246	12479
444	5256	12461
445	5266	12446
446	5276	12428
447	5288	12417
448	5299	12404
449	5310	12391
450	5325	12387
451	5339	12381
452	5351	12368
453	5362	12355
454	5373	12340
455	5384	12326
456	5395	12313
457	5408	12303
458	5419	12290
459	5430	12276
460	5440	12262
461	5450	12246
462	5461	12231
463	5472	12218
464	5483	12206
465	5493	12189
466	5503	12174
467	5513	12158
468	5524	12144
469	5535	12131
470	5546	12116
471	5556	12102
472	5566	12087
473	5576	12070
474	5587	12057
475	5598	12043
476	5609	12029
477	5621	12018
478	5631	12003
479	5642	11989
480	5651	11972
481	5662	11959
482	5672	11944
483	5683	11931
484	5695	11918
485	5705	11904
486	5717	11892
487	5728	11878
488	5738	11864
489	5749	11851
490	5758	11834
491	5769	11819
492	5780	11807
493	5791	11793
494	5802	11781
495	5814	11769
496	5826	11758
497	5838	11746
498	5848	11732
499	5859	11718
500	5870	11705
501	5885	11700
502	5895	11685
503	5905	11670
504	5915	11655
505	5925	11640
506	5937	11628
507	5948	11615
508	5957	11599
509	5968	11586
510	5981	11576
511	5993	11565
512	6004	11552
513	6015	11538
514	6025	11524
515	6035	11510
516	6046	11497
517	6059	11486
518	6068	11470
519	6079	11457
520	6091	11446
521	6103	11435
522	6114	11421
523	6125	11408
524	6135	11394
525	6145	11379
526	6157	11368
527	6169	11356
528	6180	11344
529	6191	11332
530	6203	11320
531	6215	11310
532	6226	11295
533	6237	11283
534	6248	11269
535	6259	11258
536	6270	11244
537	6281	11232
538	6291	11217
539	6302	11204
540	6311	11187
541	6323	11176
542	6333	11162
543	6343	11148
544	6353	11133
545	6365	11122
546	6374	11106
547	6386	11094
548	6395	11078
549	6405	11064
550	6418	11054
551	6429	11041
552	6438	11025
553	6448	11011
554	6460	11000
555	6469	10984
556	6478	10968
557	6489	10955
558	6500	10942
559	6510	10929
560	6521	10916
561	6534	10906
562	6544	10892
563	6554	10877
564	6563	10862
565	6575	10850
566	6586	10838
567	6596	10823
568	6607	10810
569	6618	10797
570	6627	10782
571	6638	10770
572	6649	10757
573	6658	10742
574	6668	10727
575	6677	10711
576	6688	10698
577	6698	10685
578	6709	10673
579	6720	10660
580	6732	10648
581	6742	10635
582	6752	10621
583	6762	10607
584	6773	10595
585	6783	10581
586	6794	10568
587	6805	10555
588	6815	10541
589	6824	10526
590	6835	10513
591	6844	10498
592	6854	10484
593	6865	10471
594	6875	10457
595	6886	10445
596	6898	10435
597	6909	10422
598	6918	10407
599	6930	10395
600	6940	10382
601	6951	10369
602	6963	10358
603	6973	10345
604	6985	10333
605	6998	10323
606	7009	10312
607	7019	10298
608	7029	10284
609	7040	10271
610	7049	10257
611	7060	10245
612	7072	10234
613	7082	10219
614	7092	10205
615	7104	10195
616	7115	10183
617	7127	10172
618	7138	10160
619	7149	10147
620	7160	10135
621	7172	10124
622	7184	10113
623	7194	10099
624	7203	10085
625	7214	10072
626	7224	10059
627	7236	10048
628	7247	10036
629	7257	10022
630	7269	10011
631	7280	9999
632	7290	9985
633	7299	9970
634	7311	9960
635	7322	9947
636	7333	9935
637	7343	9922
638	7354	9908
639	7364	9895
640	7374	9882
641	7384	9869
642	7394	9856
643	7405	9843
644	7417	9832
645	7430	9823
646	7442	9811
647	7452	9798
648	7463	9786
649	7473	9772
650	7484	9760
651	7496	9750
652	7507	9737
653	7517	9724
654	7530	9714
655	7540	9701
656	7550	9688
657	7561	9676
658	7572	9664
659	7583	9651
660	7595	9640
661	7606	9628
662	7615	9613
663	7627	9603
664	7636	9589
665	7647	9576
666	7660	9566
667	7672	9555
668	7682	9542
669	7697	9535
670	7708	9523
671	7720	9512
672	7730	9499
673	7742	9488
674	7754	9477
675	7765	9465
676	7778	9455
677	7790	9444
678	7800	9432
679	7812	9421
680	7822	9407
681	7833	9395
682	7844	9383
683	7855	9371
684	7864	9357
685	7874	9343
686	7886	9332
687	7895	9318
688	7905	9305
689	7915	9292
690	7925	9278
691	7935	9266
692	7947	9255
693	7957	9242
694	7968	9229
695	7977	9215
696	7987	9202
697	7999	9191
698	8011	9180
699	8020	9166
700	8032	9155
701	8042	9142
702	8052	9129
703	8062	9116
704	8074	9105
705	8085	9093
706	8096	9081
707	8106	9068
708	8116	9055
709	8126	9042
710	8136	9029
711	8147	9017
712	8159	9006
713	8169	8993
714	8181	8982
715	8193	8971
716	8203	8958
717	8215	8947
718	8225	8935
719	8237	8924
720	8246	8909
721	8258	8899
722	8268	8886
723	8282	8877
724	8292	8863
725	8303	8852
726	8314	8841
727	8327	8830
728	8338	8818
729	8351	8809
730	8362	8796
731	8372	8783
732	8382	8771
733	8393	8759
734	8403	8746
735	8415	8736
736	8426	8723
737	8439	8713
738	8451	8703
739	8463	8691
740	8473	8679
741	8484	8667
742	8496	8656
743	8506	8643
744	8515	8630
745	8526	8618
746	8537	8606
747	8548	8594
748	8559	8582
749	8570	8570
750	8582	8559
751	8593	8547
752	8604	8535
753	8613	8521
754	8623	8509
755	8633	8496
756	8644	8484
757	8655	8472
758	8667	8461
759	8676	8448
760	8686	8435
761	8698	8424
762	8711	8414
763	8722	8402
764	8733	8390
765	8743	8378
766	8753	8365
767	8763	8352
768	8774	8340
769	8786	8329
770	8798	8319
771	8809	8307
772	8820	8295
773	8832	8285
774	8842	8271
775	8852	8258
776	8861	8245
777	8871	8232
778	8880	8219
779	8891	8207
780	8904	8197
781	8914	8184
782	8925	8172
783	8936	8161
784	8948	8150
785	8959	8139
786	8969	8126
787	8981	8114
788	8992	8103
789	9004	8092
790	9013	8079
791	9025	8068
792	9039	8059
793	9050	8047
794	9060	8035
795	9072	8023
796	9081	8010
797	9091	7997
798	9103	7986
799	9114	7975
800	9126	7964
801	9137	7952
802	9147	7940
803	9158	7927
804	9169	7916
805	9181	7905
806	9192	7893
807	9204	7882
808	9215	7871
809	9228	7861
810	9238	7848
811	9249	7836
812	9260	7825
813	9271	7813
814	9283	7802
815	9293	7789
816	9304	7778
817	9315	7766
818	9326	7755
819	9339	7744
820	9349	7732
821	9360	7720
822	9371	7709
823	9383	7697
824	9393	7685
825	9403	7673
826	9414	7661
827	9424	7649
828	9435	7637
829	9446	7625
830	9459	7615
831	9471	7604
832	9483	7593
833	9492	7580
834	9503	7568
835	9512	7555
836	9524	7544
837	9535	7533
838	9547	7521
839	9558	7510
840	9569	7498
841	9580	7486
842	9591	7475
843	9602	7463
844	9612	7451
845	9624	7440
846	9635	7428
847	9647	7417
848	9657	7405
849	9667	7392
850	9679	7381
851	9692	7371
852	9703	7360
853	9714	7348
854	9726	7337
855	9735	7324
856	9746	7312
857	9757	7301
858	9767	7288
859	9777	7275
860	9787	7263
861	9798	7251
862	9808	7240
863	9818	7227
864	9829	7215
865	9839	7203
866	9850	7191
867	9859	7179
868	9872	7168
869	9881	7155
870	9891	7143
871	9902	7131
872	9913	7119
873	9922	7107
874	9932	7094
875	9943	7083
876	9953	7071
877	9965	7059
878	9976	7048
879	9986	7036
880	9999	7025
881	10009	7013
882	10019	7001
883	10031	6989
884	10041	6977
885	10051	6966
886	10061	6953
887	10073	6942
888	10084	6930
889	10096	6920
890	10107	6908
891	10117	6896
892	10130	6886
893	10142	6875
894	10153	6863
895	10163	6851
896	10174	6839
897	10184	6827
898	10196	6816
899	10206	6804
900	10216	6792
901	10227	6780
902	10238	6768
903	10248	6756
904	10257	6743
905	10268	6732
906	10281	6722
907	10291	6710
908	10302	6698
909	10313	6686
