iter	MultiClass
0	1.325582943
1	1.145269141
2	1.014378906
3	0.9129809245
4	0.8323101563
5	0.7661998047
6	0.7114226563
7	0.6648240885
8	0.6253097656
9	0.5912345052
10	0.5618308594
11	0.5361268229
12	0.5136349935
13	0.4937966797
14	0.4760371094
15	0.4603880859
16	0.4465303711
17	0.4340429036
18	0.4229517253
19	0.4131789388
20	0.4042258138
21	0.3964896159
22	0.3890759115
23	0.3826871094
24	0.3767647135
25	0.3713349935
26	0.3668032227
27	0.3620970378
28	0.3577323893
29	0.3543745117
30	0.3507759766
31	0.3478563151
32	0.3447690755
33	0.3423346354
34	0.3399704102
35	0.3375058594
36	0.335388151
37	0.3332629557
38	0.3315698568
39	0.3298523763
40	0.3281991536
41	0.3268354492
42	0.3252861979
43	0.3238840495
44	0.3226271484
45	0.3215171549
46	0.3203158529
47	0.3194202148
48	0.3185488281
49	0.3174495117
50	0.3166109701
51	0.3158913737
52	0.3151706706
53	0.3144013021
54	0.3137319336
55	0.3132019206
56	0.3124044922
57	0.3117101562
58	0.3112204427
59	0.310602832
60	0.3100049479
61	0.3092877279
62	0.3087897786
63	0.3083785156
64	0.3077230469
65	0.3072038737
66	0.3067575846
67	0.3063102214
68	0.3057631836
69	0.3053017578
70	0.3046701823
71	0.304037793
72	0.3035561198
73	0.3030862956
74	0.3027320312
75	0.3023470052
76	0.3020638672
77	0.3018006836
78	0.3015215169
79	0.3010208984
80	0.300567806
81	0.3001975586
82	0.2997216146
83	0.2993452148
84	0.2988890951
85	0.2985041341
86	0.2981188477
87	0.2977941732
88	0.2975407878
89	0.2972199544
90	0.2969827799
91	0.2966999349
92	0.2963943685
93	0.29616875
94	0.2958417643
95	0.2956142578
96	0.2952522461
97	0.2948839193
98	0.2945057617
99	0.2942320313
100	0.2939888997
101	0.2937197917
102	0.2934888672
103	0.2932573242
104	0.2929562174
105	0.2926613607
106	0.2923554362
107	0.2920551758
108	0.2918236003
109	0.2915474609
110	0.2911782552
111	0.2908460286
112	0.2906969401
113	0.2905060221
114	0.2903306315
115	0.2899949544
116	0.2897875326
117	0.2895665039
118	0.2893513021
119	0.2890946289
120	0.2887979167
121	0.2885361003
122	0.2882264648
123	0.287892513
124	0.2876968099
125	0.2873939128
126	0.2871799154
127	0.2869775391
128	0.286755013
129	0.2865688802
130	0.2862899089
131	0.2860638021
132	0.2858691732
133	0.2856051432
134	0.2853627604
135	0.2850010091
136	0.2847340169
137	0.2844910156
138	0.2841533529
139	0.2839793945
140	0.2838095703
141	0.2835236654
142	0.283253776
143	0.2830801432
144	0.2828687174
145	0.2827353841
146	0.2825160156
147	0.2823265951
148	0.2821187174
149	0.2819591471
150	0.281717513
151	0.2814628255
152	0.2812616862
153	0.2810533854
154	0.2807592122
155	0.2804388672
156	0.2802723958
157	0.2801119466
158	0.2799012044
159	0.2796222656
160	0.2794875
161	0.2793367513
162	0.2791843099
163	0.2789783203
164	0.2788267578
165	0.2786745117
166	0.2785254557
167	0.2783097005
168	0.2781769857
169	0.2779705404
170	0.2778332031
171	0.2777148437
172	0.2775426107
173	0.277336263
174	0.2771578451
175	0.2769326172
176	0.2766931966
177	0.276529362
178	0.2763035482
179	0.2761063802
180	0.2759862305
181	0.275827832
182	0.2756827148
183	0.2755240885
184	0.2752548177
185	0.2751138997
186	0.2748482096
187	0.2746621094
188	0.2744736003
189	0.2743066081
190	0.2741420898
191	0.2739859049
192	0.2738187826
193	0.2736281901
194	0.2734772135
195	0.2733072266
196	0.2730177734
197	0.2728397624
198	0.2727054525
199	0.2725366699
200	0.2724007324
201	0.2722391113
202	0.2720765788
203	0.2719441081
204	0.27183514
205	0.2716159993
206	0.2714090007
207	0.271229069
208	0.2710734863
209	0.2709407389
210	0.270734668
211	0.270512972
212	0.2703847005
213	0.2701659017
214	0.2700016927
215	0.2698393066
216	0.269651416
217	0.2694417969
218	0.269319515
219	0.2691908691
220	0.269042513
221	0.2689183594
222	0.2687923014
223	0.2686310547
224	0.2684485026
225	0.2682800944
226	0.2681071126
227	0.2679402181
228	0.2678201335
229	0.2677578939
230	0.2676688151
231	0.267509082
232	0.2673673991
233	0.2672070801
234	0.267062207
235	0.2669611654
236	0.2668384766
237	0.2666854492
238	0.2665241699
239	0.2663907878
240	0.2662772461
241	0.2661582357
242	0.2660255371
243	0.2658238281
244	0.2656930176
245	0.2655033366
246	0.2653744141
247	0.2652702962
248	0.2651746745
249	0.2649646159
250	0.264798763
251	0.2646210612
252	0.2644823568
253	0.2643531738
254	0.264190332
255	0.2640697266
256	0.2639624349
257	0.2637626628
258	0.2636458008
259	0.2635556315
260	0.2634272135
261	0.2633302734
262	0.2631709473
263	0.2630379069
264	0.2628862467
265	0.2627272298
266	0.262545638
267	0.2623478516
268	0.2621910156
269	0.2620628092
270	0.2619389811
271	0.2618046224
272	0.2617035807
273	0.2615732422
274	0.2614049154
275	0.2612523438
276	0.261099056
277	0.2609647786
278	0.2608179688
279	0.2607321289
280	0.2606133952
281	0.2604908203
282	0.2603698405
283	0.2602136393
284	0.2600905924
285	0.2599765951
286	0.2598483887
287	0.2597414714
288	0.2595655599
289	0.2594314616
290	0.2593426595
291	0.2592330729
292	0.2591153483
293	0.2590087402
294	0.2588659017
295	0.2586838216
296	0.258524235
297	0.2584118652
298	0.2582860677
299	0.2581759277
300	0.2580338379
301	0.2578933757
302	0.2577398437
303	0.2576031901
304	0.2575127116
305	0.2574148763
306	0.2573123372
307	0.2571710449
308	0.2570884603
309	0.2569667318
310	0.2568616374
311	0.2567042806
312	0.2565632161
313	0.2564527018
314	0.2563389486
315	0.2562352051
316	0.2561142253
317	0.2560146973
318	0.2558495117
319	0.2557491699
320	0.2555776042
321	0.2554936361
322	0.255391748
323	0.2553085612
324	0.2552220215
325	0.2550983887
326	0.2549468587
327	0.2548194173
328	0.2546574707
329	0.2545624512
330	0.2544338867
331	0.2543438965
332	0.2541923177
333	0.2540577962
334	0.253934847
335	0.2537756185
336	0.2536573893
337	0.2535276204
338	0.2534497396
339	0.2533646647
340	0.2532462402
341	0.2531038737
342	0.2529526042
343	0.2528578125
344	0.2527874674
345	0.2527157389
346	0.2525996094
347	0.2525189453
348	0.2524019206
349	0.2522823242
350	0.2522046875
351	0.2520847168
352	0.2519380046
353	0.2518260742
354	0.2516997233
355	0.2516481283
356	0.2514759766
357	0.2513585612
358	0.2512579915
359	0.2511318197
360	0.2510431315
361	0.2509280436
362	0.2508289388
363	0.2507022949
364	0.2505336914
365	0.2504430339
366	0.2503478678
367	0.2501474609
368	0.2500338867
369	0.2499385579
370	0.2498542806
371	0.2497358887
372	0.2496471517
373	0.2495501465
374	0.2494419922
375	0.2493146159
376	0.2492041829
377	0.2491265137
378	0.2490217448
379	0.2489558594
380	0.2488202474
381	0.2487082357
382	0.2486328939
383	0.2485585124
384	0.2484510579
385	0.2483479818
386	0.2482255208
387	0.2481018229
388	0.2479713867
389	0.2478539876
390	0.2477439616
391	0.2476717448
392	0.2475263672
393	0.2473983887
394	0.2472928548
395	0.2471542318
396	0.2470613118
397	0.2469475423
398	0.2468431315
399	0.2467638021
400	0.2466774251
401	0.2466125
402	0.2465177734
403	0.2464024251
404	0.2462858561
405	0.2461641439
406	0.2460386393
407	0.2459349935
408	0.2458804687
409	0.2456475098
410	0.2455598796
411	0.2454721842
412	0.2454001302
413	0.245308252
414	0.2452109538
415	0.2451158366
416	0.2450045736
417	0.2448978678
418	0.2448084473
419	0.2446816243
420	0.2445658854
421	0.2444941569
422	0.2443531738
423	0.2442644857
424	0.2441529622
425	0.2440358236
426	0.2439276042
427	0.2438427572
428	0.2437418294
429	0.2436199056
430	0.2434868164
431	0.2434080241
432	0.2432996908
433	0.2432224609
434	0.243080013
435	0.2429880534
436	0.2428569499
437	0.242761849
438	0.2426654622
439	0.2425992513
440	0.2425354004
441	0.2424351725
442	0.2423471191
443	0.2422622233
444	0.2421587402
445	0.2420465983
446	0.2419204102
447	0.2418319824
448	0.2417340495
449	0.2416330892
450	0.2415385579
451	0.2414486003
452	0.2413519531
453	0.2412690918
454	0.2411855143
455	0.2411119954
456	0.2410224609
457	0.2408987793
458	0.2408269857
459	0.2407518066
460	0.2406572266
461	0.2405834635
462	0.2404679036
463	0.2403394368
464	0.2402422363
465	0.2401482422
466	0.240055957
467	0.2399513672
468	0.2398400879
469	0.2397578451
470	0.2396722982
471	0.2395049316
472	0.2394153483
473	0.2392952311
474	0.2391938965
475	0.2391327148
476	0.2390377279
477	0.2389170736
478	0.238852474
479	0.2387907389
480	0.2387030762
481	0.2386205566
482	0.2385483561
483	0.2384147786
484	0.2383071289
485	0.2382049479
486	0.2380983398
487	0.237994873
488	0.2379102865
489	0.237827474
490	0.2377616862
491	0.2376934733
492	0.2376006348
493	0.2375113281
494	0.2374336263
495	0.2373177409
496	0.2372266276
497	0.2371625651
498	0.2370353678
499	0.2368934408
500	0.2367762044
501	0.2366820964
502	0.2366179362
503	0.2365546712
504	0.2364902018
505	0.2363955241
506	0.2362975423
507	0.2362300293
508	0.2361500814
509	0.2360375326
510	0.2359396159
511	0.2358528483
512	0.2357572266
513	0.2356630697
514	0.2355786458
515	0.2354664225
516	0.2353883789
517	0.2353207031
518	0.2352272624
519	0.2350828613
520	0.2349526693
521	0.2348621257
522	0.2347677246
523	0.2346871908
524	0.2345559245
525	0.2344536458
526	0.2343667155
527	0.2342549154
528	0.2341816406
529	0.2341310872
530	0.2340463704
531	0.2339660807
532	0.2338352214
533	0.2337366699
534	0.2336342611
535	0.233560498
536	0.2334646159
537	0.2333962891
538	0.2332899902
539	0.2332116862
540	0.233132194
541	0.2330197428
542	0.2329386556
543	0.2328498047
544	0.2327361491
545	0.2326142415
546	0.2325480469
547	0.2324463867
548	0.2323549967
549	0.2322875977
550	0.2321891439
551	0.2321048828
552	0.2320439779
553	0.2319345052
554	0.2318222493
555	0.2317581868
556	0.2316849935
557	0.2315920898
558	0.2315125163
559	0.2314229329
560	0.2313325846
561	0.2312474447
562	0.2311812988
563	0.231099821
564	0.2310020833
565	0.230915918
566	0.2308229167
567	0.2307826497
568	0.2307072266
569	0.2306305339
570	0.2305484701
571	0.2304838379
572	0.2304206868
573	0.2303560059
574	0.2302447428
575	0.2301397949
576	0.2300390951
577	0.2299432454
578	0.2298436523
579	0.2297639974
580	0.229640625
581	0.2295789225
582	0.2295006836
583	0.2294264648
584	0.2293027344
585	0.2292069824
586	0.2291385905
587	0.2290485189
588	0.2289854004
589	0.2289310547
590	0.2288293132
591	0.2287701497
592	0.2286825195
593	0.2285722656
594	0.2285209147
595	0.2284097005
596	0.2283463704
597	0.2282640951
598	0.2281873047
599	0.2281062663
600	0.2280418457
601	0.2279638346
602	0.2278968913
603	0.2278070964
604	0.2276989258
605	0.2276297689
606	0.2275673014
607	0.2275103027
608	0.227411735
609	0.2273476888
610	0.2272707682
611	0.2272034505
612	0.2271162272
613	0.2270372233
614	0.226950651
615	0.2268868164
616	0.2267938151
617	0.2267260742
618	0.226661377
619	0.2265932292
620	0.22650236
621	0.2264064453
622	0.226338265
623	0.2262530762
624	0.2261834798
625	0.2261013021
626	0.2260520996
627	0.2259667155
628	0.2258717773
629	0.2257918294
630	0.2257208171
631	0.2256411133
632	0.2255726563
633	0.225516276
634	0.2254346029
635	0.2253626628
636	0.225292985
637	0.2251916504
638	0.2250914551
639	0.2250264323
640	0.2249475911
641	0.2248954915
642	0.2248118815
643	0.2247532715
644	0.2246925456
645	0.2246167643
646	0.2245656087
647	0.2244991048
648	0.22441875
649	0.224365446
650	0.2243193685
651	0.2242680827
652	0.224195459
653	0.2241199382
654	0.2240364583
655	0.2239917806
656	0.2239199707
657	0.2238311523
658	0.2237549642
659	0.2236510091
660	0.2235981608
661	0.2235210938
662	0.2234431641
663	0.2233376628
664	0.2232739258
665	0.2232207682
666	0.2231273275
667	0.2230539062
668	0.222992041
669	0.222919873
670	0.2228474772
671	0.2228061035
672	0.2227344564
673	0.2226661458
674	0.2226094401
675	0.2225479004
676	0.2224450358
677	0.2223375163
678	0.2222815104
679	0.2222054362
680	0.2221522786
681	0.2220696777
682	0.2220097819
683	0.2219454915
684	0.2218670247
685	0.221797054
686	0.2217202637
687	0.2216423177
688	0.2215889648
689	0.2215042318
690	0.2214192383
691	0.2213691895
692	0.2213109701
693	0.2212128092
694	0.2211712402
695	0.2210998372
696	0.2210042806
697	0.2209358561
698	0.2208462565
699	0.2207472982
700	0.2206732747
701	0.2205916016
702	0.2205269368
703	0.2204706706
704	0.2203963542
705	0.2203436686
706	0.2202840658
707	0.2202351888
708	0.2201857422
709	0.2201159831
710	0.2200333984
711	0.2199466634
712	0.219891097
713	0.2197904297
714	0.2197142578
715	0.2196332031
716	0.2195525065
717	0.2194947917
718	0.219447054
719	0.2193856771
720	0.2193212565
721	0.2192404785
722	0.2191651367
723	0.2190860352
724	0.2190456055
725	0.218980778
726	0.2189263021
727	0.2188772298
728	0.2188122233
729	0.2187336589
730	0.2186480306
731	0.2185497233
732	0.2184864746
733	0.2184232747
734	0.2183700684
735	0.2183063477
736	0.2182463216
737	0.2181748698
738	0.2180989909
739	0.2180506999
740	0.2179987467
741	0.2179208171
742	0.217866276
743	0.2178206868
744	0.2177676432
745	0.2176839355
746	0.2176138346
747	0.2175402832
748	0.2174745117
749	0.217385319
750	0.2173245443
751	0.2172514811
752	0.2171934408
753	0.2171418945
754	0.2170621094
755	0.2169904785
756	0.216908724
757	0.2168306641
758	0.2167506673
759	0.2166963542
760	0.2166156087
761	0.2165677083
762	0.2165102376
763	0.2164311523
764	0.2163706217
765	0.2163218262
766	0.2162507975
767	0.216178418
768	0.2160934733
769	0.2160083496
770	0.2159341634
771	0.2158750163
772	0.2158154134
773	0.2157371582
774	0.2156672201
775	0.2156127604
776	0.2155503255
777	0.2154679036
778	0.2154021322
779	0.2153345866
780	0.2152571452
781	0.2151729492
782	0.2151198079
783	0.215075293
784	0.2150159993
785	0.2149401367
786	0.2148858561
787	0.214815332
788	0.2147510417
789	0.2146686523
790	0.2146101074
791	0.2145521484
792	0.2144762533
793	0.2143920247
794	0.214357373
795	0.2142683431
796	0.2141582357
797	0.2140837077
798	0.2140504557
799	0.2139984375
800	0.2139210938
801	0.2138761719
802	0.213817806
803	0.2137682129
804	0.2136672689
805	0.2135870443
806	0.2134809896
807	0.2134269206
808	0.213363737
809	0.2132512207
810	0.2131728353
811	0.213087207
812	0.2130188151
813	0.2129616699
814	0.2129035645
815	0.212823763
816	0.2127770508
817	0.2126993978
818	0.2126185384
819	0.2125552083
820	0.2124883138
821	0.2124378418
822	0.2123884766
823	0.2123210286
